user_id,movie_id,value
97,30,5
31,9,5
73,32,3
31,3,5
73,20,2
35,30,5
89,33,5
23,2,4
76,32,4
97,33,4
35,32,2
67,21,5
25,13,4
74,19,3
70,32,4
94,34,4
83,31,5
99,23,3
46,25,5
4,13,5
61,14,5
13,15,4
78,21,4
1,9,4
76,34,5
52,30,5
55,30,4
2,14,4
89,34,2
44,20,3
6,34,3
20,31,3
97,32,4
99,31,3
22,7,4
55,22,4
93,23,2
32,21,4
18,13,5
94,20,4
8,27,5
93,21,4
5,33,5
83,18,5
22,24,5
65,17,3
31,34,5
74,18,2
67,33,5
87,31,1
6,32,5
10,8,4
9,3,5
59,16,5
91,30,4
9,16,5
7,23,5
25,27,5
5,9,5
15,4,5
19,25,5
3,1,4
17,2,4
1,28,4
59,21,5
99,32,5
57,30,5
90,34,2
78,17,1
13,22,4
88,20,4
96,30,1
56,18,5
100,33,3
39,13,5
64,21,4
4,2,5
3,3,5
86,20,3
71,17,2
65,33,3
47,25,4
92,21,5
11,34,3
60,34,5
35,11,4
47,22,5
47,13,5
38,21,5
28,25,5
19,22,5
30,14,4
1,14,4
67,32,5
39,8,5
56,21,5
90,20,2
67,29,2
68,30,5
83,34,5
73,33,1
58,34,5
59,34,5
31,29,4
27,24,5
54,12,5
81,18,4
43,27,4
10,29,5
49,34,5
51,10,4
77,34,5
84,29,5
52,27,5
55,10,4
20,5,5
56,24,5
97,23,4
17,13,4
41,5,5
65,20,2
77,19,5
50,25,5
89,21,5
79,19,5
23,25,4
84,21,2
19,21,5
35,10,5
16,32,5
77,31,4
95,33,4
81,33,5
35,3,5
55,21,5
99,30,1
96,34,4
11,16,4
24,15,5
21,21,3
54,10,5
9,29,4
12,3,5
49,13,5
29,14,5
70,20,4
87,30,3
39,25,5
88,29,4
95,30,5
79,17,4
3,23,3
62,33,5
72,19,3
59,14,5
47,33,4
90,32,3
46,9,5
24,5,5
18,1,5
48,32,4
46,22,5
81,17,3
2,34,4
79,32,4
66,21,3
2,1,5
41,15,4
91,34,2
39,9,5
27,5,5
51,25,4
90,29,4
19,23,3
48,6,5
83,20,4
81,29,5
80,31,1
45,29,5
51,9,4
17,24,4
52,28,3
16,3,4
79,20,5
85,18,2
43,28,4
17,5,5
24,24,5
80,33,5
57,14,2
13,1,4
53,23,4
44,23,2
39,11,4
83,33,4
82,21,5
60,33,5
12,8,5
95,32,5
68,17,1
1,13,5
95,31,4
40,8,5
34,9,5
35,16,5
52,10,5
28,14,5
66,17,4
83,21,5
40,7,4
22,19,3
86,19,4
75,29,5
46,10,5
64,31,2
67,17,1
21,20,2
37,10,5
30,22,3
87,19,2
98,32,5
77,32,5
70,17,3
56,14,5
87,33,3
85,19,4
21,24,3
32,22,4
97,34,5
29,16,5
76,17,4
64,30,1
26,5,5
80,34,4
69,20,5
3,13,5
47,10,5
84,18,4
12,23,5
87,32,4
77,21,4
39,26,5
75,32,5
71,25,5
21,26,4
93,33,4
18,21,5
87,34,4
20,24,5
5,29,3
74,17,1
34,3,5
77,17,3
36,3,5
16,1,4
72,18,3
63,32,5
93,30,3
42,20,3
63,30,2
33,8,5
19,9,5
90,21,3
70,31,4
30,5,5
7,4,2
83,29,4
2,15,4
86,33,3
32,3,5
86,18,4
62,32,5
11,1,5
91,31,4
89,32,5
96,32,3
21,5,3
21,28,4
92,20,3
35,28,5
37,8,5
94,31,5
24,2,5
34,25,3
70,21,4
74,20,5
10,15,5
8,28,5
7,34,4
97,31,4
30,13,3
59,32,5
11,3,5
96,31,1
77,18,1
39,10,5
14,13,5
50,27,5
65,32,4
51,22,4
7,16,5
51,27,3
99,33,3
41,6,5
60,32,4
11,2,4
86,29,4
45,23,3
5,34,5
82,26,4
86,34,5
59,20,4
30,21,4
86,32,3
84,33,4
21,29,1
6,33,4
58,29,4
16,8,4
48,29,5
47,6,5
76,31,3
87,21,5
75,34,4
32,24,4
34,16,4
24,27,5
87,20,4
64,33,5
25,24,5
100,29,3
12,15,5
72,21,2
5,1,5
14,1,5
100,31,4
4,4,5
34,13,5
72,30,5
30,10,5
7,22,5
41,13,5
93,20,2
88,32,5
43,5,4
6,31,2
74,29,2
33,3,5
26,6,5
75,17,4
70,18,4
35,13,5
44,5,5
36,23,5
76,33,4
92,33,1
100,32,3
80,29,5
40,11,5
29,2,5
92,31,1
22,22,5
50,9,5
53,34,5
14,24,5
24,23,5
36,34,5
44,7,4
43,13,5
37,11,5
98,31,4
96,33,1
91,32,4
49,6,5
28,27,5
8,14,5
18,3,5
88,21,5
12,14,3
4,5,5
95,21,3
8,1,4
71,18,4
14,3,5
50,22,3
9,13,5
73,31,3
37,12,4
79,21,4
71,30,3
91,33,5
3,22,3
27,11,5
20,23,4
42,31,2
42,4,4
32,4,5
26,22,5
44,21,5
21,2,4
26,10,5
15,1,5
63,14,5
55,19,2
95,22,5
14,5,5
20,14,4
80,18,1
60,14,5
81,32,2
36,18,1
89,20,5
78,31,1
71,34,4
100,27,1
43,11,4
78,20,2
39,22,4
85,32,5
57,33,1
53,31,2
80,20,2
68,18,1
83,32,5
95,20,5
13,13,4
71,32,3
10,22,4
35,27,4
70,19,5
53,26,5
29,13,5
68,32,3
80,19,5
5,32,2
62,29,5
57,20,5
98,29,5
89,31,4
77,30,3
25,2,5
69,18,5
73,21,3
70,33,3
52,13,3
40,23,5
75,31,5
19,16,4
50,13,5
20,33,4
91,20,4
66,20,5
63,33,4
18,25,5
30,24,4
61,21,4
80,17,5
98,23,5
16,34,4
66,34,4
10,3,4
23,29,4
23,34,5
78,29,3
68,34,1
64,34,4
20,34,5
28,2,5
56,16,4
41,21,4
49,33,5
49,29,3
46,6,5
13,23,3
5,21,4