movie_id,title,genre
1,The Sheriff 1,"crime drama, western"
2,The Big City Judge 1,legal drama
3,The Sheriff 2,"crime drama, western"
4,Just a Regular Family,reality
5,The Big City Judge 2,legal drama
6,Attack on Earth 1,"sci-fi, action"
7,The Secret Box,"sci-fi, mystery, fantasy"
8,Sci-Fi Murder Detectives,"supernatural, mystery"
9,Biker Gangs,"crime drama, action"
10,Surrounded by Zombies 1,"horror, zombie fiction"
11,Inspector Jackson,"detective drama, mystery"
12,Horrorfest,horror
13,The Sheriff 3,"crime drama, western"
14,The Spy Family,spy drama
15,We Will Fight Those Aliens,"sci-fi, action"
16,Master Criminal,"thriller, horror, crime drama"
17,Singing Telegram,"musical, comedy"
18,Bad Teachers,comedy
19,Fake News about Fake News,"satire, comedy"
20,Buy My App,comedy
21,Political Gaffs,"comedy, political satire"
22,Attack on Earth 2,"sci-fi, action"
23,Trapped in Space,"sci-fi, mystery"
24,The Big City Judge 3,legal drama
25,Drugs & Guns,crime drama
26,Mafia Underground,"crime drama, thriller"
27,Surrounded by Zombies 2,"horror, zombie fiction"
28,The Sheriff 4,"crime drama, western"
29,Post-Apocalyptia 1,"sci-fi, thriller, mystery"
30,Post-Apocalyptia 2,"sci-fi, thriller, mystery"
31,My Complicated Family,comedy-drama
32,Behind the Scenes,comedy-drama
33,Sports Nerds,comedy
34,The Serious Detective,detective drama